_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/051/ARN/10/BBY/TM,SG_051_ARN_10_BBY_TM.pdf,https://drive.google.com/file/d/1d5N8tiBZZxUGx6DT8-2z1eUlawqdcAQa/view?usp=drivesdk,Police Shoot Them,2010,Ariswan Adhitama,145 x 165 cm,"Tinta cetak, akrilik, cat spray di atas kanvas",E14-2 & E15-1,/QR/QR-Data-TM/SG-051-ARN-10-BBY-TM.png
SG/052/CAT/10/BBY/TM,SG_052_CAT_10_BBY_TM.pdf,https://drive.google.com/file/d/1xoc6NCtm7bnAlSDO_lnxqj975Of3tx7R/view?usp=drivesdk,Pity Bee #2,2010,AC Andre Tanama,200 x 145 cm,"Woodcut print, pencil, acrylic on canvas",E16-2,/QR/QR-Data-TM/SG-052-CAT-10-BBY-TM.png
SG/053/JHW/09/BBY/TM,SG_053_JHW_09_BBY_TM.pdf,https://drive.google.com/file/d/1zGo1bz3xB7A1CqJV4QXUiLfFr6sn95oC/view?usp=drivesdk,Citrosena dan Sumantri,2009,Junko Hayakawa,15 x 10 cm,Cukil kayu di atas kertas,E02-2,/QR/QR-Data-TM/SG-053-JHW-09-BBY-TM.png
SG/054/TAS/11/BBY/TM,SG_054_TAS_11_BBY_TM.pdf,https://drive.google.com/file/d/1F0UGPJf-dCEKt4PfqgCLNjKejl8OuNVW/view?usp=drivesdk,Safety First Kids,2011,Theresia Agustina Sitompul,57 x 75 cm,Litografi Plat alumunium on paper,E06-1,/QR/QR-Data-TM/SG-054-TAS-11-BBY-TM.png
SG/055/APH/11/BBY/TM,SG_055_APH_11_BBY_TM.pdf,https://drive.google.com/file/d/17Pj83axG9iNuVy_DfrrzAidNO1GjYS9W/view?usp=drivesdk,Alone,2011,Agung Pekik HP,130 x 114 cm,Woodcut on canvas,E14-1,/QR/QR-Data-TM/SG-055-APH-11-BBY-TM.png
SG/056/EPP/11/BBY/TM,SG_056_EPP_11_BBY_TM.pdf,https://drive.google.com/file/d/1K7cBsXv5e6x0LG-8y4q1qJWs6KLM6ATa/view?usp=drivesdk,Lingkaran Merah,2011,Eko Putro Prasetyo,D120 cm,Hardboard on canvas,E03-2,/QR/QR-Data-TM/SG-056-EPP-11-BBY-TM.png
SG/057/SUO/12/BBY/TM,SG_057_SUO_12_BBY_TM.pdf,https://drive.google.com/file/d/1Ixai_O-5F5rK49istsCUqcBcQU2Zpq8r/view?usp=drivesdk,Friendship,2012,Sutrisno,55 x 65 cm,Woodcut on canvas,E02-1,/QR/QR-Data-TM/SG-057-SUO-12-BBY-TM.png
SG/058/ALM/13/BBY/TM,SG_058_ALM_13_BBY_TM.pdf,https://drive.google.com/file/d/1uZfNDlr2FTkLOEhQTT3h5iPWFOmmnQtY/view?usp=drivesdk,Wiji Thukul (Planting Seed),2013,Alit Amdara,42 x 60 cm,Planting Seed,E13-1,/QR/QR-Data-TM/SG-058-ALM-13-BBY-TM.png
SG/059/DOI/13/BBY/TM,SG_059_DOI_13_BBY_TM.pdf,https://drive.google.com/file/d/1__VQarSWpgh5WeZ0s_FLTQpq71t6sXWz/view?usp=drivesdk,Ibu dan Anak,2013,Dodi Irwandi,16 x 15 cm,Etsa Aquatint 4/20,E02-2,/QR/QR-Data-TM/SG-059-DOI-13-BBY-TM.png
SG/060/AFI/14/BBY/TM,SG_060_AFI_14_BBY_TM.pdf,https://drive.google.com/file/d/1eM8X7XntXidfvY1MNLrbgaFqLT51PB7-/view?usp=drivesdk,Perampasan Oleh Negara,2014,"Ahmad Faisal Ismail ""Sukribo""",70 x 30 cm,"Kertas, tinta cina, pensil, cetak koran",E03-1,/QR/QR-Data-TM/SG-060-AFI-14-BBY-TM.png
SG/061/WAT/10/BBY/TM,SG_061_WAT_10_BBY_TM.pdf,https://drive.google.com/file/d/1Tkya8ydfVid1-wsZTkqz5p6aM7KmJRfj/view?usp=drivesdk,Untitled,2010,Wattanachot Tungateja,30 x 30 cm,Woodcut on paper,E12-2,/QR/QR-Data-TM/SG-061-WAT-10-BBY-TM.png
SG/062/MFA/14/BBY/TM,SG_062_MFA_14_BBY_TM.pdf,https://drive.google.com/file/d/1ncEvC2dNqAojzdIpSo0ThKtu9r7X1Ncg/view?usp=drivesdk,Monologue,2014,M. Fadhlil Abdi,45 x 45 cm,Linocut Print on Paper,E07-2,/QR/QR-Data-TM/SG-062-MFA-14-BBY-TM.png
SG/063/SPL/13/BBY/TM,SG_063_SPL_13_BBY_TM.pdf,https://drive.google.com/file/d/17s9M6qrh_n9KXSmn5UOtQPHV4jeyKZWi/view?usp=drivesdk,No title,2013,Syahrizal Pahlevi,20 x 20 cm,Woodcut ,F13-1,/QR/QR-Data-TM/SG-063-SPL-13-BBY-TM.png
SG/064/DDW/15/BBY/TM,SG_064_DDW_15_BBY_TM.pdf,https://drive.google.com/file/d/1ojOgXNHlXcFjVE2p3X7iZf3AVC7t-GxD/view?usp=drivesdk,Kesederhanaan,2015,Dawud Dwi Wibisono,75 x 55 cm,Silk screen diatas kanvas,E05-2,/QR/QR-Data-TM/SG-064-DDW-15-BBY-TM.png
SG/065/NFZ/13/BBY/TM,SG_065_NFZ_13_BBY_TM.pdf,https://drive.google.com/file/d/1seg3DKQSKDEf7Gtji6LYT2QZL1eTsPBu/view?usp=drivesdk,Gravel,2013,Nofrizaldi,90 x 90 cm,Hardboard cut on canvas,E03-2,/QR/QR-Data-TM/SG-065-NFZ-13-BBY-TM.png
SG/066/SMR/17/BBY/TM,SG_066_SMR_17_BBY_TM.pdf,https://drive.google.com/file/d/1LZueOdNdE_EXAKoRpT41AeB3Vm4VVekt/view?usp=drivesdk,Sungai,2017,Sri Maryanto ,37 x 53 cm,Litografi pada Kertas,E03-2,/QR/QR-Data-TM/SG-066-SMR-17-BBY-TM.png
