_Kode,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Pameran,_Lokasi,_Deskripsi,@images,_PDF,_Link,@QR-Images
LK/037/BPM/93/BBY/TM,Blue Car in the Blues,1993,Bambang Pramudyanto,90 x 70 cm,Cat minyak  di atas kanvas,TANDA MATA I,C04-2,"Istilah Newrealism atau Hyperrealism mulai menggejala di Indonesia sekitar pertengahan 1970-an. Kecenderungan ini ditandai dengan penggambaran realisme yang ekstrem dalam memotret benda mendekati benda aslinya sehingga mirip bidikan mata lensa kamera. Bambang mencoba menangkap kecenderungan hiperrealisme itu dalam berkarya dengan banyak menyajikan tema mobil kuno dari beragam sudut penglihatan sebagai tema sentral. Acapkali cat mobil yang mengkilap dengan refleksi cahaya dan bayangan yang menimpa permukaan cat, digambarkan dengan penuh keasyikan.",/TM-Low/LK037BPM93BBYTM.jpeg,LK_037_BPM_93_BBY_TM.pdf,https://drive.google.com/file/d/1l0q6_gq5gXMVzjA52ULGN7pXFHpgoNqU/view?usp=drivesdk,
LK/038/PDP/94/BBY/TM,Absen,1994,Pupuk DP,120 x 150 cm,Cat minyak di atas kanvas,TANDA MATA I,,"Pupuk DP seringkali memotret kehidupan wanita dari kalangan jelata yang dilukiskannya dengan goresan kuas yang kuat. Pada banyak bagian, ia memberi tekanan bentuk dan kesan gerak dengan imbuhan pola bergaris-garis yang terkesan spontan dan ekspresif pada tubuh dan pakaian sosok yang dilukisnya. Belakangan ini karya-karyanya makin dipenuhi garis-garis seperti ini, ekspresif dan ramai.",/TM-Low/LK038PDP94BBYTM.jpeg,LK_038_PDP_94_BBY_TM.pdf,https://drive.google.com/file/d/1F34Oowykel66kcWPYCGqUndBeefbXKjb/view?usp=drivesdk,
LK/039/UNT/96/BBY/TM,Untitle,1996,Untitle 96,140 x 140 cm,Cat minyak di atas kanvas,TANDA MATA I,E10-2,,/TM-Low/LK039UNT96BBYTM.jpeg,LK_039_UNT_96_BBY_TM.pdf,https://drive.google.com/file/d/1rR0FtLekKjvyfE9r8x-K_n4B0yk-_Qwd/view?usp=drivesdk,
LK/040/RUD/95/BBY/TM,Sesaji,1995,Rudi,39 x 49 cm,Cat minyak di atas kanvas,TANDA MATA I,C05-1,"Bali, dengan segala adat-istiadat masyarakat Hindu yang penuh citarasa artistik itu, sudah lama menjadi sumber inspirasi dan tema yang tak habis-habisnya mengisi kanvas pelukis Indonesia. Ini adalah salah satu contoh dari deretan panjang lukisan serupa yang muncul dari fenomena keterpukauan akan ""Bali"" itu.",/TM-Low/LK040RUD95BBYTM.jpeg,LK_040_RUD_95_BBY_TM.pdf,https://drive.google.com/file/d/1ZKF39M8Tc2ZqBqEcSenIm9GcCBx4WNQS/view?usp=drivesdk,
LK/041/WRS/95/BBY/TM,Perahu,1995,Warsito,80 x 60 cm,Cat minyak di atas kanvas,TANDA MATA I,C05-1,"Karya Warsito berjudul Perahu menggambarkan sebuah panorama yang aneh dan mencekam. Diwakili oleh dua buah perahu yang mengapung di atas permukaan air keruh seolah menggambarkan benda yang tersesat di ruang antah berantah. Pada sisi kanan bawah, tergeletak selembar sajadah yang terlipat dengan sebuah tasbih, menambah suasana nglangut dan kerinduan masa kanak-kanak yang hilang.",/TM-Low/LK041WRS95BBYTM.jpeg,LK_041_WRS_95_BBY_TM.pdf,https://drive.google.com/file/d/1qdUyVlfjqe4uOp4p3Ow8HTP1RqIhs6ns/view?usp=drivesdk,
LK/042/SGR/95/BBY/TM,Ikarus,1995,Satyagraha,"41,5 x 59 cm",Drawing di atas kertas,TANDA MATA I,C04-1,"Satyagraha awalnya adalah seorang pematung. la mengenal baik perupaan anatomi manusia Akhir 80-an, ia memperkenalkan jenis seni rupa yang 'tak dikenal' publik seni rupa kita: seni gambar dengan medium pensil di atas kertas. Ini adalah salah satu contoh kekuatan gambar Satyagraha itu. Dengan arsiran pensil yang penuh dan teliti, juga penghapus, tubuh manusia dalam gambar Satyagraha hadir terawang, seperti menyiratkan keringkihannya. Tak salah je kritikus Sanento Yuliman pernah menyebut karya Satyagraha sebagai gambar yang dibuat dengan ""pensil yang mengelupas manusia""",/TM-Low/LK042SGR95BBYTM.jpeg,LK_042_SGR_95_BBY_TM.pdf,https://drive.google.com/file/d/1741_FBYCJdMwqnAFnUI6Zaab6_4qBNI5/view?usp=drivesdk,
LK/043/NSR/95/BBY/TM,Barong,1995,Nasirun,90 x 145 cm,Cat minyak di atas kanvas,TANDA MATA I,C05-1,"Nasirun, seperti selalu menangkap suasana malam dari pertunjukan wayang, yang kisah kisahnya sering ia lukiskan di kanvasnya. la cenderung menggunakan warna gelap dan pekat dalam lukisan-lukisannya. Kepekatan dan ketebalan ini juga memunculkan kesan guratan dan barik pada permukaan lukisannya. Kali ini Nasirun, masih menggali kisah dan tokoh dari khasanah mitologi, menampilkan barong dengan seringai seram yang khas itu.",/TM-Low/LK043NSR95BBYTM.jpeg,LK_043_NSR_95_BBY_TM.pdf,https://drive.google.com/file/d/12DwnnvAhyOJZVOaJShRyavBIK-Ye4tnC/view?usp=drivesdk,
LK/044/PTS/96/BBY/TM,Menyerang,1996,Putu Sutawijaya,145 x 100 cm,Cat minyak  di atas kanvas,TANDA MATA I,C05-2,,/TM-Low/LK044PTS96BBYTM.jpeg,LK_044_PTS_96_BBY_TM.pdf,https://drive.google.com/file/d/1jYUP8GoBluqgE5ODymM7d94kxvlv-yzm/view?usp=drivesdk,
LK/045/SWK/96/BBY/TM,Sirna Marga Layu,1996,Sarwoko,97 x 85 cm,Cat minyak  di atas kanvas,TANDA MATA I,C05-1,,/TM-Low/LK045SWK96BBYTM.jpeg,LK_045_SWK_96_BBY_TM.pdf,https://drive.google.com/file/d/1cyAu8KXLAaA5i4wFuSraeKZuy4mZ6CUc/view?usp=drivesdk,
LK/046/SGT/96/BBY/TM,Attraction,1996,Sugiarto,100 x 100 cm,Cat minyak  di atas kanvas,TANDA MATA I,C05-2,,/TM-Low/LK046SGT96BBYTM.jpeg,LK_046_SGT_96_BBY_TM.pdf,https://drive.google.com/file/d/1_wUtB3in1VqPgQzmSgpeE-bTZ8JhY4S9/view?usp=drivesdk,
