_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/053/JYT/14/BBJ/TR,SG_053_JYT_14_BBJ_TR.pdf,https://drive.google.com/file/d/1iBCB4dlN_hQvBxSZ5_k1eia4GOvt2ECH/view?usp=drivesdk,Reinvention of Myself,2014,Jayanta Naskar,77 x 112 cm,"Colour Etching and intaglio, edisi 7/12",E08-1,/QR/QR-Data-PL/SG-053-JYT-14-BBJ-TR.png
SG/054/PUS/14/BBJ/TR,SG_054_PUS_14_BBJ_TR.pdf,https://drive.google.com/file/d/1-cJuWGh8EGFVUPtf6MqIHNv_btoyrEwB/view?usp=drivesdk,Our Whole Life Searching,2014,Puritip Suriyapatarapun,70 x 100 cm,Lithography,E10-1,/QR/QR-Data-PL/SG-054-PUS-14-BBJ-TR.png
SG/055/MHL/15/BBJ/TR,SG_055_MHL_15_BBJ_TR.pdf,https://drive.google.com/file/d/1ptzTVlSSC9qCq2j7fORbaJZk30MhZYgb/view?usp=drivesdk,Addiction,2015,Muhlis Lugis,55 x 72 cm,Grafis woodcut on paper,E10-1,/QR/QR-Data-PL/SG-055-MHL-15-BBJ-TR.png
SG/056/HZG/18/BBJ/TR,SG_056_HZG_18_BBJ_TR.pdf,https://drive.google.com/file/d/1qOYPxGo097Z5g9kQy-L-8YYP7WejnR1a/view?usp=drivesdk,Gaze Toward the Light 2,2018,Hui Zhang (China),97 x 45 cm,"lithograph, edisi 13/39",E07-1,/QR/QR-Data-PL/SG-056-HZG-18-BBJ-TR.png
SG/057/NTK/18/BBJ/TR,SG_057_NTK_18_BBJ_TR.pdf,https://drive.google.com/file/d/1vgw3oywOoNslAeQ8UvDOxR8XQphFE0-4/view?usp=drivesdk,Depressed,2018,Nuttakatn Vajasut (Thailand),70 x 100 cm,"lithograph, edisi 3/4",E10-1,/QR/QR-Data-PL/SG-057-NTK-18-BBJ-TR.png
SG/058/CLT/18/BBJ/TR,SG_058_CLT_18_BBJ_TR.pdf,https://drive.google.com/file/d/1BU6g8B7bJZMNL8gnsKZsrSdSIzOaUVKf/view?usp=drivesdk,Supernurmerary (Ploy),2018,Chalita Tantiwitkosol (Thailand),100 x 72 cm,"lithograph, edisi 2/4",E09-1,/QR/QR-Data-PL/SG-058-CLT-18-BBJ-TR.png
SG/059/SPL/17/BBJ/PL,SG_059_SPL_17_BBJ_PL.pdf,https://drive.google.com/file/d/1Cm4tcCsJeOrXNWLWAOg3Qjjjv7xcc9gp/view?usp=drivesdk,Rekonstruksi Van Gogh,2017,Syahrizal Pahlevi,30 x 30 cm,Woodcut di atas kertas,E15-1,/QR/QR-Data-PL/SG-059-SPL-17-BBJ-PL.png
SG/060/SPL/17/BBJ/PL,SG_060_SPL_17_BBJ_PL.pdf,https://drive.google.com/file/d/19N8i17giPmxnis9Jhp1dnYM8nsn0Iu45/view?usp=drivesdk,Rekonstruksi Van Gogh IV,2017,Syahrizal Pahlevi,86 x 57 cm,Woodcut di atas kertas,D17-1,/QR/QR-Data-PL/SG-060-SPL-17-BBJ-PL.png
SG/061/SPL/17/BBJ/PL,SG_061_SPL_17_BBJ_PL.pdf,https://drive.google.com/file/d/1xAdJFhDKWr_7riqMLXBdYePVw3zsqCTR/view?usp=drivesdk,Rekonstruksi Van Gogh V,2017,Syahrizal Pahlevi,67 x 86 cm,Woodcut di atas kertas,D17-1,/QR/QR-Data-PL/SG-061-SPL-17-BBJ-PL.png
SG/062/DDK/02/BBJ/PL,SG_062_DDK_02_BBJ_PL.pdf,https://drive.google.com/file/d/1tam9isGTOK9AoAqon1K2j4Cmc8czcclO/view?usp=drivesdk,Untitle,2002,Dadang Kristanto,34 x 24 cm,Grafis,E11-2,/QR/QR-Data-PL/SG-062-DDK-02-BBJ-PL.png
SG/063/SSB/91/BBJ/PL,SG_063_SSB_91_BBJ_PL.pdf,https://drive.google.com/file/d/1p35OO1QXjILKkybkFbtdf5xv8rtd-2mZ/view?usp=drivesdk,Untitled,1991,Setiawan Sabana,34 x 44 cm,AP,E15-1,/QR/QR-Data-PL/SG-063-SSB-91-BBJ-PL.png
SG/064/BRL/--/BBJ/PL,SG_064_BRL_--_BBJ_PL.pdf,https://drive.google.com/file/d/1nTZwGEpuJKqBiQNaWrsBw3qvTS4HmO4k/view?usp=drivesdk,Sosok Lelaki,,Barli Sasmitawinata,43 x 32 cm,Cetak grafis 12/50,E13-2,/QR/QR-Data-PL/SG-064-BRL----BBJ-PL.png
SG/065/BRL/--/BBJ/PL,SG_065_BRL_--_BBJ_PL.pdf,https://drive.google.com/file/d/187-R9AvtcnFbkmEsmGiS2rNenugzbg1_/view?usp=drivesdk,Laki-Laki,,Barli Sasmitawinata,43 x 32 cm,Cetak grafis xx/50,E13-2,/QR/QR-Data-PL/SG-065-BRL----BBJ-PL.png
